what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1228195541468
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1228195541656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228195545109
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228195547296
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228195547921
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1228195547921
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1228195552218
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1228195552312
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228195553671
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1228195553671
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1228195946484
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1228195946578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228195950609
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228195955843
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228195959375
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1228195959375
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228195989859
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228195990515
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1228195990546
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228195995187
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228195995953
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228195998531
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228196004078
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228196029453
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228196113718
