what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.datatools.sqltools.result,1.0.0.v200808271350,org.eclipse.datatools.sqltools.result.removeInstance,1228041945156
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor,1228041946312
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1228041956281
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.selectAll,1228041957062
executed,command,org.eclipse.datatools.sqltools.sqleditor,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqleditor.ExecuteSelectionAction,1228041959000
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228041959281
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228041959343
activated,view,org.eclipse.datatools.sqltools.result,1.0.0.v200808271350,org.eclipse.datatools.sqltools.result.resultView,1228041961109
executed,command,org.eclipse.datatools.sqltools.result,1.0.0.v200808271350,org.eclipse.datatools.sqltools.result.removeInstance,1228041963546
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228041964921
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228041968453
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor,1228041970078
activated,view,org.eclipse.datatools.sqltools.result,1.0.0.v200808271350,org.eclipse.datatools.sqltools.result.resultView,1228041970109
closed,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor,1228041970125
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1228041971687
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.1.v200807230727,org.eclipse.datatools.connectivity.DataSourceExplorerNavigator,1228041973984
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228041977156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228041981906
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228041985546
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228042033328
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228042034703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228042035812
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228042038781
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228042039671
activated,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1228042041906
