what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228039524640
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228039530078
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228039531671
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1228039531687
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228039534125
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1228039539593
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228039540625
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1228039540656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228039541390
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228039599859
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1228039603578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228039614468
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228039656093
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1228039659937
started,bundle,org.eclipse.jpt.ui,2.0.101.v200809030200,org.eclipse.jpt.ui,1228039661828
started,bundle,org.eclipse.ui.views.properties.tabbed,3.4.1.M20080730-0800,org.eclipse.ui.views.properties.tabbed,1228039661859
started,bundle,org.eclipse.jpt.core,2.0.101.v200809020200,org.eclipse.jpt.core,1228039662890
started,bundle,org.eclipse.wst.xml.ui,1.0.410.v200809120143,org.eclipse.wst.xml.ui,1228039663421
started,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1228039664140
opened,editor,org.eclipse.jpt.ui,2.0.101.v200809030200,org.eclipse.jpt.ui.internal.editors.PersistenceEditor,1228039664218
activated,editor,org.eclipse.jpt.ui,2.0.101.v200809030200,org.eclipse.jpt.ui.internal.editors.PersistenceEditor,1228039664531
started,bundle,org.eclipse.jst.jsf.ui,1.1.101.v20080909,org.eclipse.jst.jsf.ui,1228039665046
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.1.v200807241900,org.eclipse.wst.jsdt.web.core,1228039665109
started,bundle,org.eclipse.xsd,2.4.1.v200808251517,org.eclipse.xsd,1228039665890
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1228039683750
