what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228636353796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228636360312
executed,command,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.run,1228636362156
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228636362171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228636373484
executed,command,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.debug,1228636376015
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228636376031
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228636376734
executed,command,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.publish,1228636378281
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228636378296
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228636384312
opened,editor,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.editor,1228636385187
activated,editor,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.editor,1228636385234
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228636393671
closed,editor,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.editor,1228636393671
activated,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1228636394546
executed,command,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.run,1228636395937
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228636395953
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228636396625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228636397437
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228636409093
executed,command,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.run,1228636411515
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228636411546
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228636417203
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228636420796
