what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228192395812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228193007093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228193008062
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228193008968
opened,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1228193053234
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228193056171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228193057343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228193058125
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228193063046
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1228193064890
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228193068421
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228193068578
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1228193078718
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1228193079906
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228193082156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228193090390
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228193090546
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228193090640
started,bundle,org.eclipse.wst.dtd.core,1.1.200.v200805140200,org.eclipse.wst.dtd.core,1228193091671
started,bundle,org.eclipse.wst.sse.ui,1.1.2.v200809120159,org.eclipse.wst.sse.ui,1228193091812
started,bundle,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.ui,1228193091828
started,bundle,org.eclipse.jst.jsp.core,1.2.110.v200809120122,org.eclipse.jst.jsp.core,1228193092046
started,bundle,org.eclipse.wst.wsdl.validation,1.1.302.v200807240215,org.eclipse.wst.wsdl.validation,1228193092250
started,bundle,org.eclipse.wst.xsd.core,1.1.301.v200807240448,org.eclipse.wst.xsd.core,1228193092265
started,bundle,org.eclipse.wst.wsi.ui,1.0.400.v200805140300,org.eclipse.wst.wsi.ui,1228193093156
