what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228499644765
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228499645703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228499648468
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228499648734
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228499650078
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1228499832703
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228499837125
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228499838375
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228499838484
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228499841781
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228499848250
executed,command,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1228499848265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228499856484
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228499860875
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1228499861984
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228499864343
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228499869890
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1228499891500
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1228499900328
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228499901640
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1228499911421
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1228499919328
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1228499934015
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228500090875
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228500094796
