what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1228244539406
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228244540359
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228244545015
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.format,1228244554000
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1228244554796
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228244607562
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228244626687
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228244666406
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228246205125
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228246220890
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228246232609
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228246251062
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228246267859
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228246277531
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228246291640
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1228246292046
started,bundle,org.eclipse.mylyn.pde.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.pde.ui,1228246292062
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1228246292093
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228246292343
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1228246293000
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1228246293046
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1228246293093
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1228246293109
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1228246293187
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1228246293250
