what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228586119906
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228586122140
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228586126875
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228586127187
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228586141500
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228586143156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228586162125
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228586165125
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228586168671
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228586169671
executed,command,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1228586169687
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228586178484
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228586182687
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228586183609
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228586204453
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1228586204468
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228586218656
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228586230906
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228586233875
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228586241500
activated,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1228586244843
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228586245796
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228586246250
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.format,1228586250093
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1228586250718
